_id,datetime,open,high,low,close
,2024-01-01 14:52:00,1100.1,1100.35,1099.5,1100.0
,2024-01-01 15:09:00,1096.5,1096.65,1095.05,1095.2
,2024-01-01 15:13:00,1098.1,1098.6,1097.45,1097.8
,2024-01-01 09:50:00,1098.8,1099.65,1098.5,1099.6
,2024-01-01 10:06:00,1100.35,1100.5,1100.0,1100.3
,2024-01-01 10:58:00,1101.6,1102.05,1101.25,1101.6
,2024-01-01 12:48:00,1100.0,1100.05,1100.0,1100.0
,2024-01-01 13:19:00,1099.6,1099.95,1099.35,1099.6
,2024-01-01 13:39:00,1100.4,1100.4,1099.6,1099.7
,2024-01-01 14:13:00,1100.6,1100.85,1100.1,1100.5
,2024-01-01 14:55:00,1099.9,1100.4,1099.4,1100.4
,2024-01-01 09:29:00,1097.75,1099.1,1097.55,1098.0
,2024-01-01 09:21:00,1095.6,1096.3,1095.5,1096.3
,2024-01-01 09:30:00,1097.65,1098.6,1097.45,1097.8
,2024-01-01 10:12:00,1100.8,1101.25,1100.55,1100.8
,2024-01-01 11:35:00,1102.9,1102.95,1102.4,1102.95
,2024-01-01 11:45:00,1102.75,1102.75,1102.05,1102.1
,2024-01-01 12:08:00,1102.15,1102.6,1101.85,1102.6
,2024-01-01 12:25:00,1101.45,1101.5,1100.9,1101.2
,2024-01-01 12:32:00,1101.5,1101.5,1100.6,1100.9
,2024-01-01 14:29:00,1100.45,1100.8,1100.1,1100.4
,2024-01-01 14:30:00,1100.55,1100.95,1100.0,1100.1
,2024-01-01 14:35:00,1100.6,1101.0,1100.0,1100.35
,2024-01-01 15:10:00,1095.7,1096.65,1095.0,1096.65
,2024-01-01 10:39:00,1103.0,1103.0,1102.75,1102.8
,2024-01-01 10:54:00,1101.55,1102.2,1101.3,1102.15
,2024-01-01 11:41:00,1102.95,1103.9,1102.95,1103.55
,2024-01-01 11:43:00,1103.45,1103.5,1103.0,1103.05
,2024-01-01 12:11:00,1103.0,1103.0,1102.55,1102.95
,2024-01-01 12:16:00,1101.55,1102.0,1100.65,1100.65
,2024-01-01 12:30:00,1101.05,1101.45,1100.85,1100.85
,2024-01-01 13:06:00,1099.8,1100.0,1099.55,1099.8
,2024-01-01 13:15:00,1099.8,1100.0,1099.3,1099.8
,2024-01-01 13:52:00,1099.25,1099.35,1098.75,1098.8
,2024-01-01 13:58:00,1100.0,1100.3,1099.75,1100.05
,2024-01-01 14:07:00,1100.2,1100.4,1099.6,1100.0
,2024-01-01 14:14:00,1100.5,1100.85,1100.2,1100.3
,2024-01-01 09:25:00,1096.25,1097.8,1096.1,1097.55
,2024-01-01 09:43:00,1100.35,1100.35,1098.7,1098.95
,2024-01-01 09:49:00,1098.75,1098.95,1098.5,1098.8
,2024-01-01 10:08:00,1100.25,1101.6,1100.2,1101.45
,2024-01-01 11:00:00,1101.85,1102.1,1101.5,1102.0
,2024-01-01 11:04:00,1102.3,1102.35,1101.8,1102.3
,2024-01-01 11:24:00,1102.0,1102.5,1102.0,1102.0
,2024-01-01 11:31:00,1103.25,1103.6,1102.65,1102.9
,2024-01-01 11:53:00,1103.0,1103.7,1102.9,1103.2
,2024-01-01 12:35:00,1100.7,1101.2,1100.5,1100.75
,2024-01-01 12:49:00,1100.0,1100.1,1099.85,1100.1
,2024-01-01 13:05:00,1099.6,1100.0,1099.55,1099.85
,2024-01-01 13:21:00,1099.8,1099.95,1099.25,1099.8
,2024-01-01 14:03:00,1100.5,1100.9,1099.65,1100.0
,2024-01-01 15:07:00,1099.15,1099.45,1098.0,1098.1
,2024-01-01 15:15:00,1098.2,1098.45,1097.75,1098.45
,2024-01-01 11:01:00,1102.0,1102.25,1101.7,1102.25
,2024-01-01 11:22:00,1102.1,1102.2,1102.0,1102.15
,2024-01-01 11:25:00,1102.3,1102.45,1102.0,1102.3
,2024-01-01 12:05:00,1102.05,1102.05,1101.15,1101.85
,2024-01-01 13:20:00,1099.6,1100.0,1099.5,1099.55
,2024-01-01 13:41:00,1099.6,1100.0,1099.45,1099.6
,2024-01-01 14:15:00,1100.35,1100.65,1100.05,1100.3
,2024-01-01 15:18:00,1098.15,1098.5,1097.3,1098.3
,2024-01-01 09:58:00,1100.2,1100.9,1100.2,1100.45
,2024-01-01 10:10:00,1101.1,1101.3,1101.05,1101.25
,2024-01-01 10:15:00,1100.95,1101.6,1100.55,1100.75
,2024-01-01 12:06:00,1101.85,1102.65,1101.65,1102.2
,2024-01-01 12:28:00,1101.1,1101.3,1100.5,1101.05
,2024-01-01 12:53:00,1100.1,1100.4,1099.9,1100.05
,2024-01-01 14:02:00,1100.15,1100.8,1099.65,1100.6
,2024-01-01 14:23:00,1101.65,1102.35,1101.45,1102.1
,2024-01-01 14:31:00,1100.55,1100.95,1100.0,1100.2
,2024-01-01 14:45:00,1100.45,1100.7,1100.0,1100.45
,2024-01-01 14:53:00,1099.6,1100.5,1099.55,1099.85
,2024-01-01 15:14:00,1098.2,1098.4,1097.65,1098.2
,2024-01-01 09:28:00,1098.25,1098.25,1097.6,1097.75
,2024-01-01 10:07:00,1100.3,1100.5,1099.9,1100.1
,2024-01-01 10:16:00,1101.0,1101.0,1100.6,1100.65
,2024-01-01 10:32:00,1100.75,1101.5,1100.4,1101.5
,2024-01-01 10:38:00,1103.0,1103.45,1102.6,1103.0
,2024-01-01 11:17:00,1101.6,1102.1,1101.05,1101.15
,2024-01-01 11:51:00,1102.8,1103.5,1102.8,1103.4
,2024-01-01 12:07:00,1102.1,1102.45,1101.75,1102.15
,2024-01-01 12:34:00,1100.6,1101.2,1100.5,1100.75
,2024-01-01 12:57:00,1100.2,1100.2,1099.65,1099.95
,2024-01-01 14:21:00,1100.9,1101.1,1100.15,1101.0
,2024-01-01 14:24:00,1102.1,1102.45,1101.65,1102.3
,2024-01-01 14:49:00,1100.0,1101.0,1099.9,1100.85
,2024-01-01 14:51:00,1100.15,1100.65,1099.65,1099.85
,2024-01-01 14:54:00,1099.8,1100.3,1099.55,1099.9
,2024-01-01 09:51:00,1099.6,1099.7,1099.05,1099.1
,2024-01-01 09:52:00,1099.0,1099.85,1099.0,1099.4
,2024-01-01 11:16:00,1102.2,1102.2,1101.55,1101.9
,2024-01-01 12:04:00,1102.05,1102.2,1102.0,1102.05
,2024-01-01 14:10:00,1099.55,1099.95,1099.0,1099.55
,2024-01-01 14:34:00,1100.5,1100.65,1100.05,1100.35
,2024-01-01 09:17:00,1095.35,1096.65,1095.2,1096.0
,2024-01-01 09:38:00,1098.55,1099.5,1098.05,1099.4
,2024-01-01 09:16:00,1094.2,1096.65,1094.0,1095.35
,2024-01-01 09:42:00,1099.6,1100.35,1099.6,1100.35
,2024-01-01 10:48:00,1102.5,1102.5,1101.9,1101.95
,2024-01-01 11:08:00,1102.6,1102.9,1102.3,1102.65
,2024-01-01 11:56:00,1103.1,1103.25,1102.5,1103.2
,2024-01-01 12:26:00,1100.9,1101.4,1100.7,1101.05
,2024-01-01 12:44:00,1100.05,1100.1,1099.9,1100.0
,2024-01-01 13:23:00,1100.0,1100.0,1099.45,1099.8
,2024-01-01 13:29:00,1099.7,1100.0,1099.4,1099.4
,2024-01-01 14:33:00,1100.9,1100.9,1100.0,1100.05
,2024-01-01 14:56:00,1100.4,1100.75,1100.0,1100.25
,2024-01-01 15:26:00,1095.05,1095.15,1094.6,1095.0
,2024-01-01 15:27:00,1095.15,1095.15,1094.95,1095.0
,2024-01-01 10:20:00,1100.85,1100.95,1100.6,1100.95
,2024-01-01 10:40:00,1102.8,1103.3,1102.6,1102.95
,2024-01-01 10:43:00,1103.0,1103.3,1102.6,1102.6
,2024-01-01 10:46:00,1101.45,1103.0,1101.45,1102.4
,2024-01-01 12:41:00,1100.05,1100.1,1099.75,1100.05
,2024-01-01 13:54:00,1099.2,1099.85,1098.95,1099.85
,2024-01-01 09:23:00,1095.5,1095.95,1095.3,1095.45
,2024-01-01 09:36:00,1098.3,1098.8,1097.7,1098.0
,2024-01-01 10:04:00,1100.15,1100.5,1100.0,1100.4
,2024-01-01 10:25:00,1100.35,1100.9,1100.1,1100.9
,2024-01-01 11:54:00,1103.2,1103.6,1102.75,1102.75
,2024-01-01 12:45:00,1100.05,1100.1,1099.75,1100.05
,2024-01-01 13:04:00,1099.75,1100.0,1099.6,1099.6
,2024-01-01 15:21:00,1096.9,1096.95,1095.4,1095.4
,2024-01-01 09:22:00,1096.3,1096.45,1095.45,1095.5
,2024-01-01 09:53:00,1099.35,1100.4,1099.0,1100.4
,2024-01-01 09:57:00,1100.6,1100.9,1100.15,1100.45
,2024-01-01 11:13:00,1103.3,1103.5,1102.5,1102.75
,2024-01-01 11:39:00,1103.2,1103.45,1103.0,1103.4
,2024-01-01 12:15:00,1102.5,1102.5,1101.35,1101.8
,2024-01-01 13:07:00,1099.8,1100.0,1099.4,1099.9
,2024-01-01 13:27:00,1099.7,1100.0,1099.5,1099.9
,2024-01-01 13:47:00,1099.8,1099.95,1099.3,1099.95
,2024-01-01 13:53:00,1099.15,1099.4,1098.8,1099.1
,2024-01-01 14:36:00,1100.2,1101.05,1100.0,1100.3
,2024-01-01 09:34:00,1098.0,1098.5,1098.0,1098.5
,2024-01-01 09:39:00,1099.4,1099.7,1098.9,1099.05
,2024-01-01 11:06:00,1102.35,1102.8,1102.3,1102.6
