,datetime,open,high,low,close,
3445,2024-02-12 13:55:00,1036.55,1037.7,1036.1,1037.2,
3446,2024-02-12 15:11:00,1046.7,1046.7,1044.0,1045.05,
3447,2024-02-12 15:12:00,1045.05,1045.35,1041.95,1042.7,
3448,2024-02-13 09:08:00,1047.0,1047.0,1047.0,1047.0,
3449,2024-02-13 09:23:00,1046.55,1048.4,1044.8,1048.05,
3450,2024-02-13 09:33:00,1050.5,1051.0,1049.95,1050.95,
3451,2024-02-13 09:34:00,1050.9,1054.0,1050.8,1052.8,
3452,2024-02-13 10:14:00,1066.3,1066.7,1065.55,1066.0,
3453,2024-02-13 10:16:00,1066.55,1068.0,1066.0,1066.05,
3454,2024-02-13 10:18:00,1065.0,1065.75,1064.5,1064.9,
