timestamp,open,high,low,close
1673601300000,396.0,396.2,395.0,395.65
1673601360000,395.35,395.45,394.1,394.9
1673601420000,395.0,395.25,394.3,394.45
1673601480000,394.6,395.0,394.15,394.35
1673601540000,394.3,394.75,393.7,394.5
1673601600000,394.5,395.25,394.4,395.25
1673601660000,395.25,395.5,393.7,394.05
1673601720000,393.95,394.0,393.15,393.7
1673601780000,393.65,393.7,392.8,393.15
1673601840000,393.0,393.0,392.4,392.5
1673601900000,392.65,392.8,391.7,392.3
1673601960000,392.35,392.8,391.9,392.7
1673602020000,392.7,392.85,392.4,392.7
1673602080000,392.7,393.3,392.6,393.0
1673602140000,393.05,393.2,392.6,392.95
1673602200000,392.95,393.2,392.75,392.8
1673602260000,392.8,392.85,392.1,392.25
1673602320000,392.15,392.15,391.45,391.7
1673602380000,391.7,391.9,391.15,391.4
1673602440000,391.5,391.5,390.6,390.85
1673602500000,390.85,390.85,390.05,390.05
1673602560000,390.25,390.35,389.6,390.0
1673602620000,390.0,390.25,389.55,390.1
1673602680000,390.3,390.55,389.85,390.0
1673602740000,389.8,390.0,389.15,389.25
1673602800000,389.2,389.55,389.0,389.0
1673602860000,389.0,389.05,388.0,388.2
1673602920000,388.2,388.2,387.15,387.85
1673602980000,387.85,388.0,387.5,387.6
1673603040000,387.7,388.15,387.5,387.7
1673603100000,387.75,387.75,386.65,386.9
1673603160000,386.85,388.25,386.5,388.25
1673603220000,388.25,388.5,388.0,388.1
1673603280000,388.15,388.5,387.85,388.4
1673603340000,388.5,388.6,388.25,388.5
1673603400000,388.35,388.5,387.9,388.25
1673603460000,388.25,388.45,387.95,388.3
1673603520000,388.4,389.25,388.3,388.65
1673603580000,388.65,389.15,388.6,388.75
1673603640000,388.75,388.85,388.5,388.7
1673603700000,388.7,388.75,388.25,388.65
1673603760000,388.65,388.7,388.35,388.7
1673603820000,388.7,389.0,388.65,388.95
1673603880000,388.85,388.95,388.55,388.55
1673603940000,388.7,388.85,388.45,388.6
1673604000000,388.7,388.95,388.65,388.95
1673604060000,388.9,389.35,388.9,389.35
1673604120000,389.4,389.55,389.25,389.45
1673604180000,389.45,389.55,389.1,389.25
1673604240000,389.25,389.25,389.0,389.1
1673604300000,389.05,389.25,388.8,389.25
1673604360000,389.25,389.35,388.85,389.15
1673604420000,389.15,389.2,388.9,389.0
1673604480000,388.95,389.25,388.95,389.25
1673604540000,389.25,389.55,389.2,389.45
1673604600000,389.45,389.5,389.15,389.5
1673604660000,389.5,389.6,389.35,389.6
1673604720000,389.6,389.6,389.4,389.5
1673604780000,389.5,389.6,389.45,389.6
1673604840000,389.6,389.6,388.7,388.8
1673604900000,388.8,388.8,387.9,387.9
1673604960000,387.9,388.4,387.7,388.25
1673605020000,388.25,389.0,388.25,388.75
1673605080000,388.75,388.95,388.45,388.65
1673605140000,388.65,388.8,388.0,388.25
1673605200000,388.25,388.3,388.0,388.25
1673605260000,388.25,388.45,388.15,388.3
1673605320000,388.4,388.65,388.3,388.35
1673605380000,388.35,388.45,387.7,387.7
1673605440000,387.95,388.25,387.85,388.15
1673605500000,388.05,388.4,388.0,388.15
1673605560000,388.1,388.35,387.9,388.0
1673605620000,388.0,388.25,387.9,388.05
1673605680000,388.05,388.2,387.75,387.9
1673605740000,387.9,387.9,387.6,387.8
1673605800000,387.8,388.0,387.55,387.95
1673605860000,387.95,388.4,387.75,388.35
1673605920000,388.25,388.5,388.2,388.5
1673605980000,388.5,388.5,388.1,388.3
1673606040000,388.35,388.75,388.25,388.75
1673606100000,388.75,388.75,388.55,388.75
1673606160000,388.75,388.75,388.65,388.7
1673606220000,388.7,389.0,388.7,389.0
1673606280000,389.0,389.2,388.95,389.2
1673606340000,389.2,389.3,389.1,389.2
1673606400000,389.3,389.3,389.0,389.15
1673606460000,389.3,389.3,389.05,389.2
1673606520000,389.15,389.45,389.15,389.45
1673606580000,389.3,389.45,389.3,389.45
1673606640000,389.45,389.45,389.25,389.25
1673606700000,389.35,389.35,389.1,389.25
1673606760000,389.3,389.3,389.15,389.15
1673606820000,389.15,389.3,388.8,388.95
1673606880000,389.1,389.25,388.95,389.25
1673606940000,389.4,389.9,389.4,389.9
1673607000000,389.85,389.9,389.5,389.5
1673607060000,389.65,389.65,389.2,389.35
1673607120000,389.4,389.45,389.25,389.35
1673607180000,389.35,389.35,389.05,389.3
1673607240000,389.25,389.5,389.25,389.5
1673607300000,389.5,389.5,389.2,389.4
1673607360000,389.4,389.4,389.2,389.25
1673607420000,389.25,389.4,389.15,389.25
1673607480000,389.25,389.25,389.0,389.1
1673607540000,389.1,389.2,389.0,389.15
1673607600000,389.05,389.2,388.95,389.2
1673607660000,389.1,389.2,389.0,389.0
1673607720000,389.0,389.25,389.0,389.25
1673607780000,389.3,389.5,389.25,389.5
1673607840000,389.45,389.65,389.4,389.65
1673607900000,389.6,389.95,389.55,389.85
1673607960000,390.0,390.35,390.0,390.2
1673608020000,390.2,390.45,390.2,390.35
1673608080000,390.35,390.8,390.35,390.55
1673608140000,390.8,391.3,390.8,391.3
1673608200000,391.2,391.45,391.2,391.4
1673608260000,391.4,391.9,391.4,391.5
1673608320000,391.45,391.5,390.8,390.95
1673608380000,390.8,391.25,390.7,391.2
1673608440000,391.2,391.45,391.2,391.2
1673608500000,391.2,391.25,390.7,390.9
1673608560000,390.9,390.9,390.6,390.8
1673608620000,390.85,390.9,390.6,390.9
1673608680000,390.9,391.0,390.75,390.9
1673608740000,390.85,391.2,390.8,391.1
1673608800000,391.0,391.2,391.0,391.0
1673608860000,391.0,391.25,391.0,391.25
1673608920000,391.2,391.5,391.2,391.5
1673608980000,391.5,391.55,391.4,391.5
1673609040000,391.5,391.7,391.45,391.5
1673609100000,391.6,391.65,391.2,391.5
1673609160000,391.6,391.7,391.5,391.6
1673609220000,391.6,391.6,391.4,391.4
1673609280000,391.5,391.5,391.05,391.1
1673609340000,391.25,391.35,391.1,391.3
1673609400000,391.3,391.35,391.15,391.15
1673609460000,391.2,391.2,391.0,391.05
1673609520000,391.05,391.15,391.0,391.0
1673609580000,391.0,391.15,391.0,391.15
1673609640000,391.15,391.5,391.15,391.35
1673609700000,391.3,391.55,391.3,391.45
1673609760000,391.45,391.55,391.1,391.25
1673609820000,391.2,391.2,391.0,391.2
1673609880000,391.05,391.3,391.05,391.2
1673609940000,391.2,391.2,391.05,391.05
1673610000000,391.15,391.2,391.0,391.0
1673610060000,391.05,391.2,391.0,391.2
1673610120000,391.15,391.2,391.05,391.2
1673610180000,391.2,391.2,391.0,391.1
1673610240000,391.0,391.2,391.0,391.2
1673610300000,391.15,391.4,391.15,391.25
1673610360000,391.35,391.4,391.2,391.25
1673610420000,391.2,391.6,391.15,391.6
1673610480000,391.6,391.85,391.55,391.6
1673610540000,391.7,391.7,391.5,391.65
1673610600000,391.65,391.65,391.35,391.55
1673610660000,391.5,391.55,391.35,391.55
1673610720000,391.45,391.6,391.45,391.55
1673610780000,391.5,391.55,391.4,391.45
1673610840000,391.5,391.5,391.4,391.5
1673610900000,391.55,391.9,391.55,391.75
1673610960000,391.85,391.9,391.5,391.65
1673611020000,391.65,391.8,391.55,391.75
1673611080000,391.75,391.75,391.45,391.5
1673611140000,391.5,391.5,391.2,391.35
1673611200000,391.25,391.35,391.1,391.2
1673611260000,391.3,391.5,391.3,391.35
1673611320000,391.35,391.6,391.35,391.5
1673611380000,391.5,391.5,391.3,391.45
1673611440000,391.45,391.45,391.3,391.4
1673611500000,391.4,391.4,391.2,391.35
1673611560000,391.35,391.4,391.25,391.4
