timestamp,open,high,low,close,sma,ema,long,short,rsi
1673602800000,389.2,389.55,389.0,389.0,390.46000000000004,389.6558579271849,False,False,10.857568839015107
1673602860000,389.0,389.05,388.0,388.2,390.055,389.1705719514566,False,False,8.542061858118501
1673602920000,388.2,388.2,387.15,387.85,389.66999999999996,388.7303813009711,False,False,7.7621291915674275
1673602980000,387.85,388.0,387.5,387.6,389.29,388.3535875339808,False,False,7.252736241483995
1673603040000,387.7,388.15,387.5,387.7,388.975,388.1357250226539,False,False,9.802564488301714
1673603100000,387.75,387.75,386.65,386.9,388.66,387.7238166817693,False,False,7.925388281802655
1673603160000,386.85,388.25,386.5,388.25,388.485,387.8992111211795,False,False,31.69598282373748
1673603220000,388.25,388.5,388.0,388.1,388.28499999999997,387.96614074745304,False,False,30.746179933998448
1673603280000,388.15,388.5,387.85,388.4,388.125,388.11076049830206,False,False,34.94497602324008
1673603340000,388.5,388.6,388.25,388.5,388.05,388.24050699886806,True,False,36.33069319880677
1673603400000,388.35,388.5,387.9,388.25,387.975,388.24367133257874,False,False,34.3602034605432
1673603460000,388.25,388.45,387.95,388.3,387.985,388.2624475550525,False,False,35.118149693458626
1673603520000,388.4,389.25,388.3,388.65,388.065,388.3916317033684,False,False,40.313666975137366
1673603580000,388.65,389.15,388.6,388.75,388.18,388.5110878022456,False,False,41.748912636844345
1673603640000,388.75,388.85,388.5,388.7,388.28,388.57405853483044,False,False,41.215253428814854
1673603700000,388.7,388.75,388.25,388.65,388.455,388.59937235655366,False,False,40.655593989923055
1673603760000,388.65,388.7,388.35,388.7,388.5,388.63291490436916,False,False,41.510907679591455
1673603820000,388.7,389.0,388.65,388.95,388.585,388.7386099362461,False,False,45.723164504635605
1673603880000,388.85,388.95,388.55,388.55,388.59999999999997,388.67573995749746,False,False,40.67563394216033
1673603940000,388.7,388.85,388.45,388.6,388.61,388.65049330499835,False,False,41.544322441889925
1673604000000,388.7,388.95,388.65,388.95,388.68,388.7503288699989,False,False,47.3555307212107
1673604060000,388.9,389.35,388.9,389.35,388.78499999999997,388.95021924666594,False,False,53.09457350111661
1673604120000,389.4,389.55,389.25,389.45,388.865,389.1168128311107,False,False,54.432004326477475
1673604180000,389.45,389.55,389.1,389.25,388.915,389.1612085540738,False,False,51.28256902083865
1673604240000,389.25,389.25,389.0,389.1,388.95500000000004,389.1408057027159,False,False,48.99297680494631
1673604300000,389.05,389.25,388.8,389.25,389.015,389.17720380181066,False,False,51.33293555150562
1673604360000,389.25,389.35,388.85,389.15,389.06000000000006,389.1681358678738,False,False,49.69614048122385
1673604420000,389.15,389.2,388.9,389.0,389.065,389.1120905785825,False,False,47.261783544448264
1673604480000,388.95,389.25,388.95,389.25,389.13500000000005,389.15806038572174,False,False,51.52387644567561
1673604540000,389.25,389.55,389.2,389.45,389.21999999999997,389.2553735904812,False,False,54.67937533088134
1673604600000,389.45,389.5,389.15,389.5,389.275,389.3369157269875,False,False,55.45995191830285
1673604660000,389.5,389.6,389.35,389.6,389.3,389.4246104846584,False,False,57.053135331980336
1673604720000,389.6,389.6,389.4,389.5,389.30499999999995,389.44974032310563,False,False,54.9369001569827
1673604780000,389.5,389.6,389.45,389.6,389.34,389.49982688207047,False,False,56.667830263823596
1673604840000,389.6,389.6,388.7,388.8,389.31,389.2665512547137,False,True,42.57769198998379
1673604900000,388.8,388.8,387.9,387.9,389.175,388.8110341698092,False,False,32.72080362511561
1673604960000,387.9,388.4,387.7,388.25,389.085,388.6240227798728,False,False,38.667285839466
1673605020000,388.25,389.0,388.25,388.75,389.06,388.6660151865819,False,False,46.00884928039126
1673605080000,388.75,388.95,388.45,388.65,389.0,388.6606767910546,False,False,44.85247749140877
1673605140000,388.65,388.8,388.0,388.25,388.88,388.5237845273698,False,False,40.47078022635239
1673605200000,388.25,388.3,388.0,388.25,388.755,388.43252301824657,False,False,40.4707802263524
1673605260000,388.25,388.45,388.15,388.3,388.625,388.3883486788311,False,False,41.302080681527976
1673605320000,388.4,388.65,388.3,388.35,388.51000000000005,388.37556578588743,False,False,42.17174686804369
1673605380000,388.35,388.45,387.7,387.7,388.32,388.1503771905916,False,False,34.92705551591612
1673605440000,387.95,388.25,387.85,388.15,388.255,388.15025146039443,False,False,42.31532288318082
1673605500000,388.05,388.4,388.0,388.15,388.28,388.15016764026296,False,False,42.31532288318082
1673605560000,388.1,388.35,387.9,388.0,388.255,388.1001117601753,False,False,40.53609268493084
1673605620000,388.0,388.25,387.9,388.05,388.185,388.08340784011693,False,False,41.420281849490294
1673605680000,388.05,388.2,387.75,387.9,388.11,388.02227189341136,False,False,39.5216834141024
1673605740000,387.9,387.9,387.6,387.8,388.06499999999994,387.94818126227426,False,False,38.26250605964365
1673605800000,387.8,388.0,387.55,387.95,388.03499999999997,387.9487875081829,False,False,41.284411232846416
1673605860000,387.95,388.4,387.75,388.35,388.04,388.0825250054553,True,False,48.52072914246177
1673605920000,388.25,388.5,388.2,388.5,388.055,388.2216833369702,False,False,50.96144827076165
1673605980000,388.5,388.5,388.1,388.3,388.115,388.2477888913135,False,False,47.713212840163415
1673606040000,388.35,388.75,388.25,388.75,388.175,388.41519259420903,False,False,54.708278105579424
